sequence,module,level,type,identifier,name,datatype,multiplicity,association_role,definition,label_local,definition_local,source_bsm_id,semantic_path,associated_module,class_term,local_name,xpath
231,cor,3,A,,Period Covered Start,Date Time,0..1,,"Start of date range for contents. Used as basis for many assumptions about data, including the date as of which open balances are open.",対象期間開始日付,内容の日付範囲の開始日。 残高の開始日付などの、データに関する多くの仮定の基礎として使用される。,CO10-09,$.btx_BusinessTransactions.btx_DocumentInformation.cor_PeriodCoveredStart,cor,Document Information,transactionPeriodCoveredStart,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:transactionDocumentInformation/gl-cor:transactionPeriodCoveredStart
232,cor,3,A,,Period Covered End,Date Time,0..1,,"End of date range for contents. Used as basis for many assumptions about data, including the date as of which open balances are open.",対象期間終了日付,内容の日付範囲の終了日。 残高の開始日付などの、データに関する多くの仮定の基礎として使用される。,CO10-10,$.btx_BusinessTransactions.btx_DocumentInformation.cor_PeriodCoveredEnd,cor,Document Information,transactionPeriodCoveredEnd,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:transactionDocumentInformation/gl-cor:transactionPeriodCoveredEnd
233,cor,3,A,,Period Count,Decimal,0..1,,"Number of periods or buckets, used by postingCode. Used to interpret posting date. It may be preferable to limit entries by period covered to be by individual reporting period.",期間数,postingCodeで使用される期間又はバケットの数。 転記日付を説明するために使用される。対象期間の仕訳を個々の報告期間に限定することが望ましいかもしれない。,CO10-11,$.btx_BusinessTransactions.btx_DocumentInformation.cor_PeriodCount,cor,Document Information,transactionPeriodCount,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:transactionDocumentInformation/gl-cor:transactionPeriodCount
234,cor,3,A,,Period Unit,Token,0..1,,"Type of periods covered by periodCount. Enumerated as: daily, weekly, bi-weekly, semi-monthly, monthly, quarterly, thirdly, semiannual, annual, ad-hoc, current-period-only, other.",期間単位,"periodCountで対象とする期間の種別。_x000D_
[設定値のリスト]_x000D_
(daily：日次)、(weekly：週次)、(bi-weekly：隔週)、(semi-monthly：半月ごと)、(monthly：月次)、(quarterly：四半期ごと)、(thirdly：年3回)、(semiannual：半年ごと)、(annual：年次)、(ad-hoc：随時)、(current-period-only：当期)、(other：その他)",CO10-12,$.btx_BusinessTransactions.btx_DocumentInformation.cor_PeriodUnit,cor,Document Information,transactionPeriodUnit,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:transactionDocumentInformation/gl-cor:transactionPeriodUnit
235,cor,3,A,,Period Unit Description,String,0..1,,Free format description of the period unit,期間単位説明,対象期間単位の説明。,CO10-13,$.btx_BusinessTransactions.btx_DocumentInformation.cor_PeriodUnitDescription,cor,Document Information,transactionPeriodUnitDescription,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:transactionDocumentInformation/gl-cor:transactionPeriodUnitDescription
236,cor,3,A,,Source Application,String,0..1,,"Product or service that produced this file. Used by many systems (e.g., VAT). Version number can be included or extended.",作成元アプリケーション,このファイルを作り出した製品又はサービス。 多くのシステム(例えば、VATなど)で、使用される。 バージョン番号を含むことも可能。,CO10-14,$.btx_BusinessTransactions.btx_DocumentInformation.cor_SourceApplication,cor,Document Information,transactionSourceApplication,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:transactionDocumentInformation/gl-cor:transactionSourceApplication
237,cor,3,A,,Target Application,String,0..1,,Particular use for which file was generated.,対象アプリケーション,ファイルが作成された用途。,CO10-15,$.btx_BusinessTransactions.btx_DocumentInformation.cor_TargetApplication,cor,Document Information,transactionTargetApplication,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:transactionDocumentInformation/gl-cor:transactionTargetApplication
238,cor,3,A,,Default Currency,QName,0..1,,"The default currency related to the amount can be entered here instead of the XBRL instance specified way, especially important in multi-currency situations. Recommend ISO 4217 coding",既定通貨,XBRLインスタンス内に指定する方法のかわりに、金額の既定の通貨を指定可能。多通貨環境で特に重要。ISO4217コード体系を推奨。,CO10-16,$.btx_BusinessTransactions.btx_DocumentInformation.cor_DefaultCurrency,cor,Document Information,transactionDefaultCurrency,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:transactionDocumentInformation/gl-cor:transactionDefaultCurrency
239,lnk,3,C,,Summary Reporting Taxonomies,,0..*,,Identifies and provides information about one or more target reporting taxonomies to which the data represented in the document rolls up to.,【集約報告タクソノミ】,この文書で示されたデータのロールアップ先となる、1つ以上の報告タクソノミの情報を、識別し提供する。,CO10-17,$.btx_BusinessTransactions.btx_DocumentInformation.cor_SummaryReportingTaxonomies,lnk,Summary Reporting Taxonomies,transactionSummaryReportingTaxonomies,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:transactionDocumentInformation/gl-lnk:transactionSummaryReportingTaxonomies
240,lnk,4,A,,Summary Reporting Taxonomy ID,String,0..1,,"Identifies a target reporting taxonomy so that, for example, it can be referenced in the [summaryReportingTaxonomyIDRef] data field at [xbrlInfo] level.",集約報告タクソノミ識別子,たとえばxbrlInfo内のsummaryReportingTaxonomyIDRefで参照できるように、報告タクソノミを識別する。,LN02-01,$.btx_BusinessTransactions.btx_DocumentInformation.cor_SummaryReportingTaxonomies.lnk_SummaryReportingTaxonomyID,lnk,Summary Reporting Taxonomies,transactionSummaryReportingTaxonomyId,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:transactionDocumentInformation/gl-lnk:transactionSummaryReportingTaxonomies/gl-lnk:transactionSummaryReportingTaxonomyId
241,lnk,4,A,,Summary Reporting Taxonomy Schema Reference Href Attribute,String,0..1,,Value of the href attribute of schemaRef in the target reporting taxonomy.,集約報告タクソノミスキーマ参照情報,報告タクソノミ内の、schemaRef要素のhref属性の値。,LN02-02,$.btx_BusinessTransactions.btx_DocumentInformation.cor_SummaryReportingTaxonomies.lnk_SummaryReportingTaxonomySchemaReferenceHrefAttribute,lnk,Summary Reporting Taxonomies,transactionSummaryReportingTaxonomySchemaReferenceHrefAttribute,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:transactionDocumentInformation/gl-lnk:transactionSummaryReportingTaxonomies/gl-lnk:transactionSummaryReportingTaxonomySchemaReferenceHrefAttribute
242,lnk,4,A,,Summary Reporting Taxonomy Header,String,0..1,,An all-purpose data field where all the information necessary when it is too complex to be defined otherwise.,集約報告タクソノミヘッダ,必要なすべての情報が、複雑すぎて他の方法では定義できないときに、それらを記述する汎用的なデータ域。,LN02-03,$.btx_BusinessTransactions.btx_DocumentInformation.cor_SummaryReportingTaxonomies.lnk_SummaryReportingTaxonomyHeader,lnk,Summary Reporting Taxonomies,transactionSummaryReportingTaxonomyHeader,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:transactionDocumentInformation/gl-lnk:transactionSummaryReportingTaxonomies/gl-lnk:transactionSummaryReportingTaxonomyHeader
243,lnk,4,A,,Summary Reporting Taxonomy Description,String,0..1,,A description of the taxonomy for human use.,集約報告タクソノミ説明,人が利用するための、タクソノミの説明文。,LN02-04,$.btx_BusinessTransactions.btx_DocumentInformation.cor_SummaryReportingTaxonomies.lnk_SummaryReportingTaxonomyDescription,lnk,Summary Reporting Taxonomies,transactionSummaryReportingTaxonomyDescription,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:transactionDocumentInformation/gl-lnk:transactionSummaryReportingTaxonomies/gl-lnk:transactionSummaryReportingTaxonomyDescription
244,cor,2,C,,Entity_ Party,,0..1,,Holder for entity information - information about the reporting organization.,【事業体情報】,事業体情報（報告組織に関する情報）の入れ物。,BT09-02,$.btx_BusinessTransactions.btx_Entity_Party,cor,Entity_ Party,entityParty,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty
245,cor,3,A,,Party Name,String,0..1,,Name of the party,,,CO14-01,$.btx_BusinessTransactions.btx_Entity_Party.cor_PartyName,cor,Entity_ Party,entityPartyName,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-cor:entityPartyName
246,cor,3,A,,Party ID,String,0..1,,ID Number of the party,,,CO14-02,$.btx_BusinessTransactions.btx_Entity_Party.cor_PartyID,cor,Entity_ Party,entityPartyId,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-cor:entityPartyId
247,cor,3,A,,Party Business Description,String,0..1,,Description of the nature of the business of the party.,業種説明,事業体の事業の種類についての説明。,CO14-03,$.btx_BusinessTransactions.btx_Entity_Party.cor_PartyBusinessDescription,cor,Entity_ Party,entityPartyBusinessDescription,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-cor:entityPartyBusinessDescription
248,bus,3,C,,Party_ Phone,,0..*,,Primary phone number of the party.,【事業体電話番号】,事業体の主要電話番号情報。,CO14-04,$.btx_BusinessTransactions.btx_Entity_Party.cor_Party_Phone,bus,Party_ Phone,entityPartyPhone,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:entityPartyPhone
249,bus,4,A,PK,Phone Number,String,0..1,,Phone number referred to in Phone Number Description'\.,電話番号,電話番号用途で示される電話番号。,BU01-01,$.btx_BusinessTransactions.btx_Entity_Party.cor_Party_Phone.bus_PhoneNumber,bus,Party_ Phone,entityPartyPhoneNumber,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:entityPartyPhone/gl-bus:entityPartyPhoneNumber
250,bus,4,A,,Phone Number Description,String,0..1,,"Entity Phone Number Description such as Main, Investor relations. Enumerated as: bookkeeper, controller, direct, fax, investor-relations, main, switchboard, other.",電話番号用途,"代表、IR用などの、電話番号の用途。
[設定値のリスト]
(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR窓口)、(main：代表)、(switchboard：交換台)、(other：その他)",BU01-02,$.btx_BusinessTransactions.btx_Entity_Party.cor_Party_Phone.bus_PhoneNumberDescription,bus,Party_ Phone,entityPartyPhoneNumberDescription,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:entityPartyPhone/gl-bus:entityPartyPhoneNumberDescription
251,bus,3,C,,Party_ Fax,,0..*,,Class for holding company fax information.,【事業体FAX番号】,事業体のFAX番号情報のタプル。,CO14-05,$.btx_BusinessTransactions.btx_Entity_Party.cor_Party_Fax,bus,Party_ Fax,entityPartyFax,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:entityPartyFax
252,bus,4,A,PK,Fax Number,String,0..1,,Fax Number,FAX番号,FAX番号。,BU06-01,$.btx_BusinessTransactions.btx_Entity_Party.cor_Party_Fax.bus_FaxNumber,bus,Party_ Fax,entityPartyFaxNumber,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:entityPartyFax/gl-bus:entityPartyFaxNumber
253,bus,4,A,,Fax Number Usage,String,0..1,,"Fax number usage (e.g. orders, head office, IR)",FAX番号用途,FAX番号の用途。(注文、本社、IRなど),BU06-02,$.btx_BusinessTransactions.btx_Entity_Party.cor_Party_Fax.bus_FaxNumberUsage,bus,Party_ Fax,entityPartyFaxNumberUsage,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:entityPartyFax/gl-bus:entityPartyFaxNumberUsage
254,bus,3,C,,Party_ Email,,0..*,,Class for holding company email information.,【事業体Eメールアドレス】,事業体のEメールアドレス情報のタプル。,CO14-06,$.btx_BusinessTransactions.btx_Entity_Party.cor_Party_Email,bus,Party_ Email,entityPartyEmail,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:entityPartyEmail
255,bus,4,A,PK,Email Address,String,0..1,,Email Address,Eメールアドレス,Eメールアドレス。,BU11-01,$.btx_BusinessTransactions.btx_Entity_Party.cor_Party_Email.bus_EmailAddress,bus,Party_ Email,entityPartyEmailAddress,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:entityPartyEmail/gl-bus:entityPartyEmailAddress
256,bus,4,A,,Email Address Usage,String,0..1,,"Email address usage (e.g. orders, head office, IR)",Eメールアドレス用途,Eメールアドレスの用途。(注文、本社、IRなど),BU11-02,$.btx_BusinessTransactions.btx_Entity_Party.cor_Party_Email.bus_EmailAddressUsage,bus,Party_ Email,entityPartyEmailAddressUsage,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:entityPartyEmail/gl-bus:entityPartyEmailAddressUsage
257,bus,3,C,,Registered_ Organization Identifier,,0..*,Registered,Class which contains various identifiers for theparty.,【識別子】,組織に関する様々な識別子を含むセクション。,CO14-07,$.btx_BusinessTransactions.btx_Entity_Party.cor_Registered_OrganizationIdentifier,bus,Organization Identifier,entityPartyRegisteredOrganizationIdentifier,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:entityPartyRegisteredOrganizationIdentifier
258,bus,4,A,PK,Organization Identifier Code,String,0..1,,"Code representing the company or organization whose data this file represents: used for situations where one user (e.g., a CPA) needs to keep track of multiple organizations' files (e.g., multiple clients). Can be EIN#, client #, internal/external identifier, SIC code. Codes which identifies the entity. Includes the code identifier of the authority issuing the code, a colon, and the code itself. For example, CIK:01234567 for the CIK number issued by SEC EDGAR.",事業体識別子,このファイルでデータを表現している会社や組織のコード。ひとりのユーザ(例えば、公認会計士)が複数の組織(例えば、複数の顧客)のファイルを把握する必要がある場合に使用される。 EIN番号、顧客番号、内部/外部識別子、SICコードであってよい。事業体の識別子をコード化する。コードを発行する権威ある組織のコード識別子、コロン、およびコードそのものを含む。 例えば、SEC　EDGARが発行したCIK番号　CIK: 01234567。,BU30-01,$.btx_BusinessTransactions.btx_Entity_Party.cor_Registered_OrganizationIdentifier.bus_OrganizationIdentifierCode,bus,Organization Identifier,entityPartyRegisteredOrganizationIdentifierCode,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:entityPartyRegisteredOrganizationIdentifier/gl-bus:entityPartyRegisteredOrganizationIdentifierCode
259,bus,4,A,,Organization Identifier Description,String,0..1,,Text describing the organization identified by the organization identifier. Includes any relevant information about the code itself (e.g. issuing authority).,事業体説明,事業体識別子によって特定された組織の説明文。 コードに関するなんらかの記述情報。,BU30-02,$.btx_BusinessTransactions.btx_Entity_Party.cor_Registered_OrganizationIdentifier.bus_OrganizationIdentifierDescription,bus,Organization Identifier,entityPartyRegisteredOrganizationIdentifierDescription,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:entityPartyRegisteredOrganizationIdentifier/gl-bus:entityPartyRegisteredOrganizationIdentifierDescription
260,bus,3,C,,Party_ Address,,0..*,,Address class for the party,【住所】,報告事業体の住所構造体。,CO14-08,$.btx_BusinessTransactions.btx_Entity_Party.cor_Party_Address,bus,Party_ Address,entityPartyAddress,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:entityPartyAddress
261,bus,4,A,,Name,String,0..1,,Address Name,住所名,住所の名前。,BU21-01,$.btx_BusinessTransactions.btx_Entity_Party.cor_Party_Address.bus_Name,bus,Party_ Address,entityPartyAddressName,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:entityPartyAddress/gl-bus:entityPartyAddressName
262,bus,4,A,,Description,String,0..1,,Address Description,住所説明,住所の説明。,BU21-02,$.btx_BusinessTransactions.btx_Entity_Party.cor_Party_Address.bus_Description,bus,Party_ Address,entityPartyAddressDescription,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:entityPartyAddress/gl-bus:entityPartyAddressDescription
263,bus,4,A,,Purpose,String,0..1,,Address Purpose,住所目的,住所の目的。,BU21-03,$.btx_BusinessTransactions.btx_Entity_Party.cor_Party_Address.bus_Purpose,bus,Party_ Address,entityPartyAddressPurpose,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:entityPartyAddress/gl-bus:entityPartyAddressPurpose
264,bus,4,A,,Location ID,String,0..1,,A code used to identify the location and to associate it with contacts and transactions,所在地識別子,所在地を識別したり、窓口や取引と関係付けるコード。,BU21-04,$.btx_BusinessTransactions.btx_Entity_Party.cor_Party_Address.bus_LocationID,bus,Party_ Address,entityPartyAddressLocationId,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:entityPartyAddress/gl-bus:entityPartyAddressLocationId
265,bus,4,A,,Building Number,String,0..1,,Building Number,住所建物番号,建物番号。,BU21-05,$.btx_BusinessTransactions.btx_Entity_Party.cor_Party_Address.bus_BuildingNumber,bus,Party_ Address,entityPartyAddressBuildingNumber,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:entityPartyAddress/gl-bus:entityPartyAddressBuildingNumber
266,bus,4,A,,Street,String,0..1,,Street address,住所通り,住所の通り。,BU21-06,$.btx_BusinessTransactions.btx_Entity_Party.cor_Party_Address.bus_Street,bus,Party_ Address,entityPartyAddressStreet,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:entityPartyAddress/gl-bus:entityPartyAddressStreet
267,bus,4,A,,Address Detail,String,0..1,,Address Detail,住所詳細,住所詳細。,BU21-07,$.btx_BusinessTransactions.btx_Entity_Party.cor_Party_Address.bus_AddressDetail,bus,Party_ Address,entityPartyAddressAddressDetail,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:entityPartyAddress/gl-bus:entityPartyAddressAddressDetail
268,bus,4,A,,City,String,0..1,,City,住所都市,住所の都市。,BU21-08,$.btx_BusinessTransactions.btx_Entity_Party.cor_Party_Address.bus_City,bus,Party_ Address,entityPartyAddressCity,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:entityPartyAddress/gl-bus:entityPartyAddressCity
269,bus,4,A,,State or Province,String,0..1,,"State, province or region",住所州,住所の州や地方。,BU21-09,$.btx_BusinessTransactions.btx_Entity_Party.cor_Party_Address.bus_StateorProvince,bus,Party_ Address,entityPartyAddressStateOrProvince,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:entityPartyAddress/gl-bus:entityPartyAddressStateOrProvince
270,bus,4,A,,Country,String,0..1,,Country,住所国,住所の国。,BU21-10,$.btx_BusinessTransactions.btx_Entity_Party.cor_Party_Address.bus_Country,bus,Party_ Address,entityPartyAddressCountry,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:entityPartyAddress/gl-bus:entityPartyAddressCountry
271,bus,4,A,,Zip or Postal Code,String,0..1,,Zip or other postal code,住所郵便番号,住所の郵便番号。,BU21-11,$.btx_BusinessTransactions.btx_Entity_Party.cor_Party_Address.bus_ZiporPostalCode,bus,Party_ Address,entityPartyAddressZipOrPostalCode,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:entityPartyAddress/gl-bus:entityPartyAddressZipOrPostalCode
272,bus,4,A,,Active Indicator,Boolean,0..1,,"Boolean to indicate whether the address is active (=""true"") or inactive (=""false"")",住所有効性,住所が有効か無効かを示すブール値。,BU21-12,$.btx_BusinessTransactions.btx_Entity_Party.cor_Party_Address.bus_ActiveIndicator,bus,Party_ Address,entityPartyAddressActiveIndicator,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:entityPartyAddress/gl-bus:entityPartyAddressActiveIndicator
273,bus,3,C,,Party_ Web Site,,0..*,,Primary web site of the party.,【事業体Webサイト】,事業体の代表ウェブサイト。,CO14-09,$.btx_BusinessTransactions.btx_Entity_Party.cor_Party_WebSite,bus,Party_ Web Site,entityPartyWebSite,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:entityPartyWebSite
274,bus,4,A,PK,Web Site URL,anyURI,0..1,,Valid URL of the web site. Should be full URL.,WebサイトURL,ウェブサイトの有効なURL。 完全なURLであるべき。,BU16-01,$.btx_BusinessTransactions.btx_Entity_Party.cor_Party_WebSite.bus_WebSiteURL,bus,Party_ Web Site,entityPartyWebSiteUrl,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:entityPartyWebSite/gl-bus:entityPartyWebSiteUrl
